feature,importance
EDAD,0.19998640593657538
ADRENALINA_N,0.1681874254652105
COLESTEROL,0.12661374295579503
IMC,0.11967796581609484
CAPNOMETRIA_MEDIO,0.10214251995291594
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.07021111611744343
CAUSA_FALLECIMIENTO_DANC,0.05982143063434822
GRUPO_SANGUINEO,0.03529178377734137
TABACO,0.02201283587631799
ALCOHOL,0.02131178210301166
HTA,0.02117131492019223
RECUPERACION_ALGUN_MOMENTO,0.016670058669563212
CAPNOMETRIA_MEDIO_MISSING,0.015002045793240907
DIABETES,0.012818142718845266
SEXO,0.009081429263104106
ADRENALINA_N_MISSING,0.0
