feature,importance
IMC,0.2282458546283483
ADRENALINA_N,0.18691338437504135
CAPNOMETRIA_MEDIO,0.14199104535619925
EDAD,0.13077238535620267
GRUPO_SANGUINEO,0.07354604715234953
HTA,0.04667615874920899
TABACO,0.04297632539745415
CAPNOMETRIA_MEDIO_MISSING,0.04258966095845075
CAUSA_FALLECIMIENTO_DANC,0.03546448169571517
COLESTEROL,0.024854707915931015
ALCOHOL,0.021435181985973738
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.009686815983809998
SEXO,0.0075693506509781185
RECUPERACION_ALGUN_MOMENTO,0.007278599794337084
DIABETES,0.0
ADRENALINA_N_MISSING,0.0
