feature,importance
ADRENALINA_N,0.2320270924290547
EDAD,0.14305393625415344
CAPNOMETRIA_MEDIO,0.1386752448484548
IMC,0.11280441889673153
CAUSA_FALLECIMIENTO_DANC,0.08568106450118837
COLESTEROL,0.055458396858993286
CAPNOMETRIA_MEDIO_MISSING,0.05025339998919873
GRUPO_SANGUINEO,0.03783368283252556
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.036736419390418835
ALCOHOL,0.032179573841744594
RECUPERACION_ALGUN_MOMENTO,0.027920323439845518
TABACO,0.022278926205665833
HTA,0.017539577196609375
SEXO,0.007557943315415416
DIABETES,0.0
ADRENALINA_N_MISSING,0.0
