feature,importance
ADRENALINA_N,0.17609487199894236
EDAD,0.15753571613837344
CAPNOMETRIA_TRANSFERENCIA,0.14999416394996
IMC,0.14848657562135964
GRUPO_SANGUINEO,0.08596659861240755
COLESTEROL,0.08338544071154662
CAUSA_FALLECIMIENTO_DANC,0.052258038581822576
HTA,0.03741540298417652
CAPNOMETRIA_TRANSFERENCIA_MISSING,0.031592885519947114
ALCOHOL,0.02947003155126668
TABACO,0.02465577300600663
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.01020153295915981
RECUPERACION_ALGUN_MOMENTO,0.007112917280679449
SEXO,0.005830051084351602
DIABETES,0.0
ADRENALINA_N_MISSING,0.0
