feature,importance
IMC,0.21363208459150587
ADRENALINA_N,0.16881749889327757
EDAD,0.15980875292773153
CAPNOMETRIA_MEDIO,0.11932873703384317
CAUSA_FALLECIMIENTO_DANC,0.05854722857027679
GRUPO_SANGUINEO,0.04747296240541047
CAPNOMETRIA_MEDIO_MISSING,0.043533502426130403
COLESTEROL,0.043487938527947564
TABACO,0.03275524383962725
HTA,0.029176416075664454
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.027349294280989346
ALCOHOL,0.0156313793318
SEXO,0.01471167019133522
RECUPERACION_ALGUN_MOMENTO,0.014457627885930061
DIABETES,0.011289663018530266
ADRENALINA_N_MISSING,0.0
