mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1272123336791992,0.0007181530350569838,0.009526777267456054,0.007778890939417852,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.25,0.3870967741935484,0.24,0.14814814814814814,0.2222222222222222,0.24949342891278378,0.07751083419350865,25
0.36969242095947263,0.008706128219280192,0.022959470748901367,0.008814418274864302,,1,300,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.25,0.42424242424242425,0.32,0.07692307692307693,0.21428571428571427,0.2570902430902431,0.11510012699935655,23
0.6500351905822754,0.02911510947070056,0.03167634010314942,3.1385666618214945e-05,,1,500,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.17391304347826086,0.375,0.3076923076923077,0.07692307692307693,0.2222222222222222,0.23115013006317353,0.10362747278253513,27
0.1269540786743164,0.014981905371841265,0.012200260162353515,0.006168463334411425,,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",0.3076923076923077,0.47058823529411764,0.2962962962962963,0.15384615384615385,0.3448275862068966,0.31465011586715436,0.10145990813677373,7
0.37282047271728513,0.024255207453775306,0.02149653434753418,0.00845059764726596,,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.32,0.47058823529411764,0.2962962962962963,0.2222222222222222,0.3870967741935484,0.3392407056012369,0.08420229136127197,2
0.4923844337463379,0.024801803930475395,0.02609543800354004,0.006930686410558681,,2,500,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.25,0.45714285714285713,0.2962962962962963,0.14285714285714285,0.3870967741935484,0.30667861409796887,0.10887084197960412,11
0.09345450401306152,0.011184507863646989,0.007954978942871093,0.0070652874640620734,,4,100,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 100}",0.35714285714285715,0.36363636363636365,0.3333333333333333,0.21428571428571427,0.48484848484848486,0.3506493506493506,0.08615697479682763,1
0.36461896896362306,0.009506171137225586,0.019686222076416016,0.006144087970419439,,4,300,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 300}",0.25,0.4444444444444444,0.3333333333333333,0.14285714285714285,0.4375,0.3216269841269841,0.11466194135880622,5
0.5481198310852051,0.06095816235273229,0.03168635368347168,7.675425428564902e-05,,4,500,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 500}",0.25,0.4,0.2857142857142857,0.14285714285714285,0.42424242424242425,0.3005627705627706,0.10279353638412914,13
0.10783648490905762,0.018701969542217454,0.0031749248504638673,0.0063498497009277345,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",0.37037037037037035,0.36363636363636365,0.21428571428571427,0.14285714285714285,0.2962962962962963,0.2774891774891775,0.08777519455974937,19
