feature,importance
EDAD,0.17697177611531345
ADRENALINA_N,0.15761396328820482
CAPNOMETRIA_MEDIO,0.12037807742197662
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.10274884239118878
IMC,0.08776574829395195
COLESTEROL,0.08385055702164514
CAUSA_FALLECIMIENTO_DANC,0.048179042073208965
GRUPO_SANGUINEO,0.04670144587862313
ALCOHOL,0.04360983597266279
SEXO,0.03416094682008822
HTA,0.02980634447164537
CAPNOMETRIA_MEDIO_MISSING,0.020666048940960555
TABACO,0.018653565514022818
RECUPERACION_ALGUN_MOMENTO,0.015099870982670292
DIABETES,0.013793934813837092
ADRENALINA_N_MISSING,0.0
