feature,importance
ADRENALINA_N,0.16807255010098135
EDAD,0.1521505858917668
CAPNOMETRIA_TRANSFERENCIA,0.14302244926888327
IMC,0.1119923917845693
COLESTEROL,0.09850567708724116
GRUPO_SANGUINEO,0.06752201871638698
ALCOHOL,0.05902935191554811
CAUSA_FALLECIMIENTO_DANC,0.056991909262010476
CAPNOMETRIA_TRANSFERENCIA_MISSING,0.031276759954593995
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.02841280688593151
TABACO,0.027521881654208248
HTA,0.022760203359873294
RECUPERACION_ALGUN_MOMENTO,0.013608914003364142
SEXO,0.011592808431667993
DIABETES,0.007539691682973497
ADRENALINA_N_MISSING,0.0
