feature,importance
CAPNOMETRIA_TRANSFERENCIA,0.16170436319350054
EDAD,0.1591561302818728
ADRENALINA_N,0.13314185790947483
IMC,0.12405684100173409
CAUSA_FALLECIMIENTO_DANC,0.06941690919304332
COLESTEROL,0.062381492058520165
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.05752445434885391
CAPNOMETRIA_TRANSFERENCIA_MISSING,0.05207079705510898
RECUPERACION_ALGUN_MOMENTO,0.03771349519358805
ALCOHOL,0.03402311988731117
GRUPO_SANGUINEO,0.03290230411003252
TABACO,0.026683100379012333
HTA,0.020715489874428294
DIABETES,0.01604357498620853
SEXO,0.012466070527310517
ADRENALINA_N_MISSING,0.0
