feature,importance
IMC,0.1982142685878936
ADRENALINA_N,0.16025635203363497
EDAD,0.15755906425726604
CAPNOMETRIA_MEDIO,0.14531064215165368
CAUSA_FALLECIMIENTO_DANC,0.05551410232641272
GRUPO_SANGUINEO,0.05459212125280988
HTA,0.05252715463261268
TABACO,0.044244084903396395
CAPNOMETRIA_MEDIO_MISSING,0.03481423429052759
COLESTEROL,0.02688443267252066
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.02621667715730558
SEXO,0.016282164712033965
ALCOHOL,0.016214074004966272
RECUPERACION_ALGUN_MOMENTO,0.009339560427942546
DIABETES,0.0020310665890235684
ADRENALINA_N_MISSING,0.0
