feature,importance
EDAD,0.20202453759867992
ADRENALINA_N,0.18001946663618407
CAPNOMETRIA_TRANSFERENCIA,0.16484349961524403
COLESTEROL,0.12658346365106168
IMC,0.1002422861984339
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.04942488436298282
CAUSA_FALLECIMIENTO_DANC,0.044137153932219
GRUPO_SANGUINEO,0.038025176940557744
HTA,0.026313544724155948
TABACO,0.025691730853795912
ALCOHOL,0.021527649729759925
CAPNOMETRIA_TRANSFERENCIA_MISSING,0.010442484117542302
RECUPERACION_ALGUN_MOMENTO,0.006358121887913945
SEXO,0.0043659997514688765
DIABETES,0.0
ADRENALINA_N_MISSING,0.0
