feature,importance
ADRENALINA_N,0.18308143811514946
CAPNOMETRIA_TRANSFERENCIA,0.1671370388722058
EDAD,0.1514038449800904
IMC,0.12792180042661547
COLESTEROL,0.11275818877876398
GRUPO_SANGUINEO,0.05463909910288777
CAUSA_FALLECIMIENTO_DANC,0.044055763167930945
HTA,0.03572488773195725
CAPNOMETRIA_TRANSFERENCIA_MISSING,0.027247852669913933
TABACO,0.027082214489972663
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.026063585711279185
ALCOHOL,0.02569154923758665
RECUPERACION_ALGUN_MOMENTO,0.009072967578151176
SEXO,0.008119769137495314
DIABETES,0.0
ADRENALINA_N_MISSING,0.0
