experiment,dataset,model,n_seeds,cv_f1_mean_mean,cv_f1_mean_std,test_f1_mean,test_f1_std,test_recall_mean,test_recall_std,test_precision_mean,test_precision_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,best_cv_score_mean,best_cv_score_std
real_plus_synthetic,mid,logistic_regression,4,0.5218055555555555,0.038475143556661644,0.4562937062937063,0.15054227133990722,0.5,0.11547005383792512,0.43601190476190477,0.21247999105478016,0.5416666666666667,0.14123937011606177,0.5218055555555555,0.038475143556661644
real_plus_synthetic,mid,xgboost,4,0.5590079365079365,0.034913088410171364,0.4324786324786325,0.09314801635062993,0.5,0.20000000000000007,0.4125,0.1181453906563152,0.5277777777777778,0.10791705395802566,0.5590079365079365,0.034913088410171364
real_plus_synthetic,mid,random_forest,4,0.5195833333333333,0.05030683441455345,0.42072927072927074,0.22010319712915652,0.45,0.30000000000000004,0.44166666666666665,0.18929694486000911,0.5583333333333333,0.17054137955322662,0.5195833333333333,0.05030683441455345
real_plus_synthetic,mid,svm,4,0.5703205128205129,0.027273177825774906,0.35586635586635584,0.2594205344338803,0.4,0.32659863237109044,0.3333333333333333,0.23570226039551584,0.5611111111111111,0.09139972355002271,0.5703205128205129,0.027273177825774906
real_plus_synthetic,mid,voting_tuned,4,0.27654761904761904,0.23583318309651233,0.3472222222222222,0.2329582523223912,0.30000000000000004,0.2,0.41666666666666663,0.28867513459481287,0.5805555555555555,0.05974913261074691,0.27654761904761904,0.23583318309651233
real_plus_synthetic,mid,dummy,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
real_plus_synthetic,transfer,random_forest,4,0.6082142857142857,0.014621063921756201,0.6695512820512821,0.14918279473816964,0.65,0.10000000000000003,0.73125,0.26090787007422117,0.7277777777777777,0.14301284871339132,0.6082142857142857,0.014621063921756201
real_plus_synthetic,transfer,logistic_regression,4,0.5905952380952381,0.031260338845707815,0.6593822843822844,0.1591079851146354,0.8,0.16329931618554525,0.5639880952380952,0.15593079639797305,0.7194444444444444,0.1572330188676101,0.5905952380952381,0.031260338845707815
real_plus_synthetic,transfer,xgboost,4,0.6098809523809523,0.022659946316013115,0.543040293040293,0.11584882491478735,0.65,0.09999999999999999,0.4895833333333333,0.18750000000000003,0.6027777777777777,0.13001266161828226,0.6098809523809523,0.022659946316013115
real_plus_synthetic,transfer,svm,4,0.6356800144300144,0.03448118318987697,0.43205128205128207,0.19217089151335107,0.5,0.2581988897471611,0.3866071428571428,0.15198166623230677,0.5416666666666666,0.1461086466486991,0.6356800144300144,0.03448118318987697
real_plus_synthetic,transfer,voting_tuned,4,0.4527777777777778,0.05560156824707724,0.3125,0.09983267894836954,0.25,0.1,0.5208333333333334,0.33592740617910627,0.5277777777777778,0.0803797570896693,0.4527777777777778,0.05560156824707724
real_plus_synthetic,transfer,dummy,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
