feature,importance
CAPNOMETRIA_TRANSFERENCIA,0.18497436332747164
EDAD,0.16787234324537834
IMC,0.15473568891069636
ADRENALINA_N,0.14594721883908668
CAPNOMETRIA_TRANSFERENCIA_MISSING,0.0697090578284537
GRUPO_SANGUINEO,0.05824683992430032
COLESTEROL,0.055070564548235376
CAUSA_FALLECIMIENTO_DANC,0.04636795375874735
HTA,0.03237476511334165
TABACO,0.029889059316093758
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.02157521438981754
ALCOHOL,0.013976639272303212
SEXO,0.010652193303255968
RECUPERACION_ALGUN_MOMENTO,0.006819887328958956
DIABETES,0.0017882108938591635
ADRENALINA_N_MISSING,0.0
